manmo,lat,long,aircraftType,location,date,year,timeOfYear,ntsbID,no_injuries,minor_injuries,serious_injuries,fatal_injuries,total_injuries_exc_fatal,total_injuries_inc_fatal, total_uninjured
Mooney MK 20,36.730555555555554,-101.60527777777777,fixed,"Guymon, OK",04/01/2013,2013,spring,CEN13FA217,0,0,0,2,0,2,0
Vans RV-8A,39.030277777777776,-98.58944444444444,fixed,"Lucas, KS",07/28/2013,2013,summer,CEN13LA439,0,0,0,1,0,1,0
Cessna 172,61.53638888888889,-160.3413888888889,fixed,"Kalskag, AK",02/05/2013,2013,fall,ANC13LA021,0,2,1,0,3,3,0
Cessna 172,41.5125,-106.57027777777778,fixed,"Saratoga, WY",03/03/2013,2013,spring,WPR13FA138,0,0,0,1,0,1,0
Cessna 152,46.812777777777775,-96.28527777777778,fixed,"Hawley, MN",03/29/2013,2013,spring,CEN13FA214,0,0,0,1,0,1,0
Piper PA 28,34.61888888888889,-95.0286111111111,fixed,"Talihina, OK",10/21/2013,2013,fall,CEN14FA019,0,0,0,1,0,1,0
Cessna 172,36.1075,-86.69055555555556,fixed,"Nashville, TN",10/29/2013,2013,fall,ERA14FA027,0,0,0,1,0,1,0
Beech BE 95,63.257222222222225,-149.25055555555556,fixed,"Cantwell, AK",06/28/2013,2013,summer,ANC13FA058,0,0,0,3,0,3,0
Rans Company S-6,35.16555555555556,-82.43972222222223,fixed,"Traveler'S Rest, SC",12/03/2013,2013,winter,ERA14CA062,0,1,0,0,1,1,0
Beech BE 36TC,35.25055555555556,-101.67583333333334,fixed,"Amarillo, TX",11/11/2013,2013,fall,CEN14FA047,0,0,0,3,0,3,0
Cessna 310/U3A,30.483055555555556,-99.79694444444445,fixed,"Junction, TX",11/12/2013,2013,fall,CEN14FA051,0,0,0,2,0,2,0
Cessna T-50,41.724722222222226,-75.69305555555556,fixed,"Lenox Twp., PA",09/02/2013,2013,fall,ERA13FA402,0,0,0,2,0,2,0
Cessna 310/U3A,27.616944444444446,-80.715,fixed,"Yeehaw Junction, FL",02/14/2013,2013,fall,ERA13FA133,0,0,0,3,0,3,0
Piper PA 28R TC,28.25861111111111,-82.4025,fixed,"Lutz, FL",02/24/2013,2013,fall,ERA13FA144,0,0,0,1,0,1,0
Piper PA 32,43.42444444444444,-115.48472222222222,fixed,"Mountain Home, ID",06/09/2012,2012,summer,WPR12FA255,0,0,0,1,0,1,0
Grumman Amer. AA-5,42.52611111111111,-119.73944444444444,fixed,"Lakeview, OR",05/24/2012,2012,spring,WPR12FA237,0,0,0,1,0,1,0
Cessna 150,46.025277777777774,-122.92027777777778,fixed,"Goble, OR",03/14/2012,2012,spring,WPR12FA136,0,0,0,2,0,2,0
Cessna 320,41.336111111111116,-109.82138888888889,fixed,"Green River, WY",04/12/2012,2012,spring,WPR12FA164,0,0,0,1,0,1,0
Cessna 206TC,34.269444444444446,-110.01694444444445,fixed,"Show Low, AZ",02/04/2012,2012,fall,WPR12FA091,0,0,2,2,2,4,0
De Havilland DHC-2/U-6A,55.05555555555555,-132.10333333333332,fixed,"Ketchikan, AK",03/13/2012,2012,spring,ANC12LA026,0,1,1,0,2,2,0
Cirrus Design SR22,38.819722222222225,-111.43222222222222,fixed,"Salina, UT",07/14/2012,2012,summer,WPR12FA305,0,0,0,2,0,2,0
Mooney MK 20,37.337500000000006,-105.16694444444445,fixed,"Teddys Peak, CO",09/13/2012,2012,fall,CEN12FA639,0,0,0,2,0,2,0
Cessna 150,30.60388888888889,-84.54694444444445,fixed,"Quincy, FL",01/22/2012,2012,winter,ERA12FA151,0,0,0,1,0,1,0
Beech BE 35,44.831944444444446,-94.1325,fixed,"Glencoe, MN",03/21/2012,2012,spring,CEN12FA196,0,0,0,3,0,3,0
Vans RV-3/4,33.90333333333333,-85.34861111111111,fixed,"Cedartown, GA",07/20/2012,2012,summer,ERA12FA467,0,0,0,1,0,1,0
Mooney MK 20,37.775,-119.35027777777778,fixed,"Yosemite Valley, CA",12/17/2012,2012,winter,WPR13FA312,0,0,0,1,0,1,0
Diamond Acft DA-40,30.71361111111111,-83.18222222222222,fixed,"Lake Park, GA",12/10/2012,2012,winter,ERA13FA083,0,0,0,1,0,1,0
Beech BE 36,-16.03888888888889,-57.59583333333334,fixed,"Mato Grosso, -",01/14/2012,2012,winter,ERA12WA159,0,0,0,3,0,3,0
Cessna 182,43.00861111111111,-110.56333333333333,fixed,"Bondurant, WY",11/17/2012,2012,fall,WPR13FA053,0,0,0,1,0,1,0
Cessna 320,29.879444444444445,-97.88305555555554,fixed,"San Marcos, TX",11/01/2012,2012,fall,CEN13FA039,0,0,0,1,0,1,0
Beech BE 35,42.44972222222222,-95.81638888888888,fixed,"Correctionville, IA",12/01/2012,2012,winter,CEN13FA082,0,0,1,2,1,3,0
Aeropro Cz AEROTREK A240,37.51027777777778,-122.50527777777778,fixed,"Half Moon Bay, CA",10/15/2012,2012,fall,WPR13FA013,0,0,0,1,0,1,0
Amer Champion 7ECA/GCAA/GCBC,35.135,-118.43916666666667,fixed,"Tehachapi, CA",12/07/2012,2012,winter,WPR13CA065,1,0,0,0,0,0,1
Cessna 210,41.1825,-111.58305555555555,fixed,"Morgan, UT",02/09/2012,2012,fall,WPR12FA098,0,0,0,2,0,2,0
Piper PA 32R,65.4538888888889,-147.55611111111114,fixed,"Fairbanks, AK",07/18/2012,2012,summer,ANC12FA066,0,0,0,2,0,2,0
Cessna 177,38.895833333333336,-85.55555555555556,fixed,"North Vernon, IN",01/21/2012,2012,winter,CEN12FA143,0,0,0,2,0,2,0
Piper PA 32R,42.263888888888886,-105.44888888888889,fixed,"Laramie Peak, WY",10/09/2012,2012,fall,WPR13FA008,0,0,0,4,0,4,0
Columbia LC-40-550FG,35.636944444444445,-80.29083333333332,fixed,"Salisburry, NC",03/02/2012,2012,spring,ERA12FA205,0,0,0,2,0,2,0
Cirrus Design SR20,35.05638888888888,-89.3863888888889,fixed,"Moscow, TN",07/11/2012,2012,summer,ERA12FA438,0,0,0,1,0,1,0
